r,e,y,AnnualEmissions
RE1,EMIC02,2015,17569.393
RE1,EMIC02,2016,18365.992
RE1,EMIC02,2017,26774.046
RE1,EMIC02,2018,35227.033
RE1,EMIC02,2019,43727.362
RE1,EMIC02,2020,52277.566
RE1,EMIC02,2021,51830.898
RE1,EMIC02,2022,52440.743
RE1,EMIC02,2023,54151.256
RE1,EMIC02,2024,55477.711
RE1,EMIC02,2025,55271.922
RE1,EMIC02,2026,56392.676
RE1,EMIC02,2027,57284.756
RE1,EMIC02,2028,58291.86
RE1,EMIC02,2029,59949.916
RE1,EMIC02,2030,61360.808
RE1,EMIC02,2031,61646.571
RE1,EMIC02,2032,61987.195
RE1,EMIC02,2033,62175.005
RE1,EMIC02,2034,62435.888
RE1,EMIC02,2035,64834.164
RE1,EMIC02,2036,66114.389
RE1,EMIC02,2037,67443.994
RE1,EMIC02,2038,68826.199
RE1,EMIC02,2039,69713.255
RE1,EMIC02,2040,70824.11
RE1,EMIC02,2041,71546.312
RE1,EMIC02,2042,72459.194
RE1,EMIC02,2043,73401.749
RE1,EMIC02,2044,74395.544
RE1,EMIC02,2045,75073.038
RE1,EMIC02,2046,73377.7
RE1,EMIC02,2047,73674.677
RE1,EMIC02,2048,73508.912
RE1,EMIC02,2049,73411.491
RE1,EMIC02,2050,69799.842
RE1,EMIC02,2051,66730.732
RE1,EMIC02,2052,65878.505
RE1,EMIC02,2053,65064.721
RE1,EMIC02,2054,64278.455
RE1,EMIC02,2055,63520.369
RE1,EMIC02,2056,62791.144
RE1,EMIC02,2057,62091.448
RE1,EMIC02,2058,62233.342
RE1,EMIC02,2059,62384.027
RE1,EMIC02,2060,62753.429
RE1,EMIC02,2061,62637.87
RE1,EMIC02,2062,62572.913
RE1,EMIC02,2063,62667.061
RE1,EMIC02,2064,62788.977
RE1,EMIC02,2065,63026.42
RE1,EMIC02,2066,63542.706
RE1,EMIC02,2067,64414.6
RE1,EMIC02,2068,65529.447
RE1,EMIC02,2069,66344.894
RE1,EMIC02,2070,61686.697
