Power Generation Technology,Year,Value,Parameter
Coal Power Plant,2015,120.0,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2015,60.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2015,27.4,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2015,240.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,92.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,14.18,Estimated Installed Capacity (MW)
Coal Power Plant,2016,120.0,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2016,60.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2016,27.4,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2016,240.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,92.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,14.18,Estimated Installed Capacity (MW)
Coal Power Plant,2017,120.0,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2017,60.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2017,27.4,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2017,240.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,92.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,14.18,Estimated Installed Capacity (MW)
Coal Power Plant,2018,120.0,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2018,60.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2018,27.4,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2018,240.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,92.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,21.93,Estimated Installed Capacity (MW)
