lookup,country_code,group,id,powerplant,pp_life_time,year_built,capacity
NAM0PWRCOA001,NAM,PWRCOA001,0,VanEck14528,30.0,1997,0.12
NAM0PWRHYD002,NAM,PWRHYD002,0,Capacity Scaler,80.0,1974,0.092
NAM0PWRHYD001,NAM,PWRHYD001,0,Ruacana14527,80.0,1974,0.24
NAM0PWROHC002,NAM,PWROHC002,0,Anixas14521,30.0,1996,0.024
NAM1PWROHC002,NAM,PWROHC002,1,LangerHeinrich14522,30.0,1996,0.01
NAM2PWROHC002,NAM,PWROHC002,2,ParatusWalvis14526,30.0,1996,0.026
NAM0PWRSOL001,NAM,PWRSOL001,0,Capacity Scaler,20.0,2014,0.016399999999999998
NAM1PWRSOL001,NAM,PWRSOL001,1,NamibiaBreweri14523,20.0,2014,0.001
NAM2PWRSOL001,NAM,PWRSOL001,2,Omburu14524,20.0,2014,0.005
NAM3PWRSOL001,NAM,PWRSOL001,3,OtjiwarongoPv14525,20.0,2014,0.005
